stock_code,name_snapshot,latest_close,latest_total_cap,latest_float_cap,pb
605389,长龄液压,106.37,15326541636.0,14494695261.0,7.11
600884,杉杉股份,16.89,37992583256.0,30995003610.0,1.73
601858,中国科传,24.66,19493730000.0,19493730000.0,3.42
002948,青岛银行,6.05,35213146080.0,18830633573.0,0.83
300405,科隆股份,6.66,1893921989.0,1457391143.0,4.86
603880,南卫股份,7.13,2060869460.0,2060869460.0,8.1
603369,今世缘,27.79,34648573028.0,34648573028.0,1.93
002037,保利联合,8.67,4195270517.0,4195270517.0,4.08
000599,青岛双星,5.78,13115976439.0,4720769407.0,0.89
002667,威领股份,33.92,8839263680.0,8025845120.0,23.41
002394,联发股份,13.43,4347291000.0,4339519140.0,1.0
301378,通达海,33.05,3192630000.0,1517475250.0,2.69
300490,华自科技,20.05,7993347014.0,7884714871.0,3.59
301526,国际复材,17.03,64218053157.0,23916811479.0,7.52
300554,三超新材,24.76,2827878647.0,1958390863.0,5.71
688778,厦钨新能,85.23,43014821004.0,43014821004.0,4.57
300850,新强联,41.72,17275661036.0,12548758294.0,2.42
301152,天力锂能,33.44,3970665834.0,2374219334.0,3.03
600198,大唐电信,8.49,11067594063.0,11053553836.0,57.51
301222,浙江恒威,49.53,4964966448.0,3953566325.0,3.38
300476,胜宏科技,334.62,328859454126.0,289511532496.0,16.78
300323,华灿光电,11.53,18713176129.0,13694111889.0,2.82
920045,蘅东光,572.76,38988659832.0,11528246947.0,33.71
002086,东方海洋,2.04,3996250860.0,3225821679.0,3.15
688307,中润光学,96.33,8551599420.0,8551599420.0,9.47
002080,中材科技,56.99,95636263052.0,95636263052.0,4.68
603211,晋拓股份,26.75,7270864000.0,7270864000.0,5.86
300056,中创环保,10.78,4155586976.0,4152435443.0,57.99
000792,盐湖股份,39.51,209070031095.0,209068167408.0,4.52
300168,万达信息,5.6,8067520026.0,8059422252.0,7.85
603329,上海雅仕,11.21,2803073672.0,2313554024.0,1.9
688323,瑞华泰,26.53,4775447117.0,4775447117.0,5.59
601958,金钼股份,19.82,63951299208.0,63951299208.0,3.23
002237,恒邦股份,16.96,24252298120.0,20222357896.0,1.8
002755,奥赛康,16.25,15082605704.0,15082444829.0,4.57
